Date,Price,Open,High,Low,Vol.,Change %
01/10/2023,75.12,74.86,75.92,73.84,307.43K,0.66%
01/09/2023,74.63,73.47,76.74,73.47,329.29K,1.17%
01/06/2023,73.77,73.97,75.47,73.24,258.13K,0.14%
01/05/2023,73.67,73.25,74.92,72.46,300.73K,1.14%
01/04/2023,72.84,77.25,77.42,72.73,352.43K,-5.32%
01/03/2023,76.93,80.57,81.5,76.6,338.52K,-4.40%
01/02/2023,80.47,80.57,80.61,80.18,,0.26%
12/30/2022,80.26,78.73,80.67,77.71,205.91K,2.37%
12/29/2022,78.4,78.82,78.82,76.79,199.86K,-0.71%
12/28/2022,78.96,79.89,79.92,77.3,207.72K,-0.72%
12/27/2022,79.53,79.9,81.18,79.16,199.60K,-1.78%
12/26/2022,80.97,79.92,81.06,79.92,,1.77%
12/23/2022,79.56,78.18,80.33,77.98,237.71K,2.67%
12/22/2022,77.49,78.43,79.9,77.03,219.14K,-1.02%
12/21/2022,78.29,75.99,78.61,75.8,234.62K,2.89%
12/20/2022,76.09,75.7,76.75,74.31,23.50K,1.20%
12/19/2022,75.19,74.5,76.41,73.81,69.35K,1.21%
12/16/2022,74.29,76.37,76.57,73.33,99.21K,-2.39%
12/15/2022,76.11,77.37,77.77,75.33,224.66K,-1.51%
12/14/2022,77.28,75.27,77.75,74.9,292.49K,2.51%
12/13/2022,75.39,73.29,76.37,73.21,352.86K,3.03%
12/12/2022,73.17,71.79,73.99,70.25,323.55K,3.03%
12/09/2022,71.02,71.85,72.92,70.08,356.72K,-0.62%
12/08/2022,71.46,72.38,75.44,71.12,474.46K,-0.76%
12/07/2022,72.01,74.55,75.38,71.75,392.24K,-3.02%
12/06/2022,74.25,77.35,77.88,73.41,380.60K,-3.48%
12/05/2022,76.93,79.99,82.72,76.77,346.66K,-3.81%
12/02/2022,79.98,81.47,82.22,79.65,280.24K,-1.53%
12/01/2022,81.22,80.4,83.34,79.93,321.43K,0.83%
11/30/2022,80.55,79,81.38,78.4,287.53K,3.01%
11/29/2022,78.2,76.54,79.65,76.29,381.87K,1.24%
11/28/2022,77.24,75.93,77.84,73.6,405.03K,1.26%
11/25/2022,76.28,77.51,79.9,76.22,266.45K,-2.14%
11/24/2022,77.95,77.53,78.19,76.92,,0.01%
11/23/2022,77.94,81.08,81.95,76.83,379.15K,-3.72%
11/22/2022,80.95,80.22,82.36,79.85,269.62K,1.53%
11/21/2022,79.73,80.3,80.3,75.08,21.98K,-0.44%
11/18/2022,80.08,82.09,82.64,77.24,96.58K,-1.91%
11/17/2022,81.64,85.22,85.45,81.4,138.48K,-4.62%
11/16/2022,85.59,86.89,87.51,84.2,225.67K,-1.53%
11/15/2022,86.92,85.25,88.68,84.06,331.71K,1.22%
11/14/2022,85.87,89.02,89.84,85.15,315.45K,-3.47%
11/11/2022,88.96,86.27,90.1,86.18,301.66K,2.88%
11/10/2022,86.47,85.85,87.35,84.7,340.01K,0.75%
11/09/2022,85.83,88.57,89.24,85.5,388.30K,-3.46%
11/08/2022,88.91,91.87,92.17,88.52,344.22K,-3.14%
11/07/2022,91.79,91,93.74,90.4,322.42K,-0.89%
11/04/2022,92.61,87.9,92.87,87.82,354.06K,5.04%
11/03/2022,88.17,89.35,89.67,87.6,239.82K,-2.03%
11/02/2022,90,88.62,90.36,87.72,280.96K,1.84%
11/01/2022,88.37,86.43,89.45,85.92,274.32K,2.13%
